Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Tax_Burden,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Continent,Investment_Freedom,Financial_Freedom,Legislation_Violence,Government_Spending,Name
51.5,19.6,29.6,25.2,91.7,99.3,49.2,60.4,76.7,66,Middle East,10,10,0,80.3,Afghanistan
66.5,54.8,30.6,40.4,86.3,80.6,69.3,52.7,81.5,87.8,Europe,70,70,1,73.9,Albania
46.2,31.6,36.2,28.9,76.4,18.7,61.6,49.9,74.9,67.4,Africa,30,30,1,48.7,Algeria
50.6,35.9,26.6,20.5,83.9,58.2,55.7,58.8,55.4,61.2,Africa,30,40,1,80.7,Angola
52.2,47.8,44.5,33.5,69.3,33,56.4,46.9,60.2,70,South America,55,60,1,49.5,Argentina
67.7,57.2,46.3,38.6,84.7,53,78.3,71.4,77.8,80.8,Asia,75,70,0,79,Armenia
80.9,79.1,86.5,79.9,62.8,86.2,88.3,84.1,86.6,87.6,Oceania,80,90,1,60.1,Australia
72,84.2,71.3,77.4,50.5,85.5,74.9,68.7,81.5,86,Europe,90,70,1,24.5,Austria
65.4,59.1,53.1,44.7,87.5,89.4,69.5,63.9,63,74.6,Asia,60,60,1,59.5,Azerbaijan
66.4,63.5,50.7,53.6,99.7,3.7,71.4,71.1,81.6,83.8,Middle East,75,80,1,62.7,Bahrain
55.6,36.1,34.5,24.4,72.7,77.6,50.9,68.2,69.9,63.6,Asia,45,30,1,94.5,Bangladesh 
64.7,52.9,59.9,53.8,70.1,79.5,69.8,59.9,78.3,56.6,Central America,70,60,1,65,Barbados
57.9,55.2,51.7,37.7,89.4,85.4,75,75.3,67,76.4,Europe,30,10,1,41.3,Belarus
67.3,81.3,61.6,72.5,47.1,73.4,78.1,61,76.1,86,Europe,85,70,1,15.2,Belgium
55.4,41.7,46.9,27.2,79.9,39.1,61.8,54.8,78.7,64,Central America,55,50,1,65.9,Belize
55.3,37.2,32.8,28.1,69.3,27.9,62.4,53.8,86.4,61.8,Africa,70,50,1,83.4,Benin
62.9,62.5,55.4,54.5,83,77.6,68.7,79.5,72.6,79.4,Asia,20,30,1,71.6,Bhutan
42.3,20.5,12.3,19.7,82.4,17.6,58.8,52.9,68.8,70.4,South America,15,40,1,49.3,Bolivia
61.9,40.2,37.9,30.2,84.3,96.6,49.7,67,83.1,82.6,Europe,65,60,1,46.1,Bosnia and Herzegovina
69.5,58.1,45.7,52.4,82.7,94.6,68.7,68.2,78.8,83.8,Africa,65,70,1,65.9,Botswana
51.9,57.3,51.7,28.1,70.5,5.9,57.9,51.9,75.5,69,South America,50,50,1,55.2,Brazil
65.1,64,56,43.7,90.7,20,80.2,90.8,76.5,84,Asia,65,50,1,59.9,Brunei Darussalam
69,62.5,41.9,35.1,90.2,98.8,62.7,68.4,88,86,Europe,70,60,1,63.9,Bulgaria
59.4,49.1,42.9,36.6,81.9,61.8,51.6,52.3,86.2,65.2,Africa,65,40,0,80,Burkina Faso
53.6,34.7,18.1,30.6,86.6,78.3,52.8,65.7,69.6,70.8,Asia,30,20,0,85.4,Burma
48.9,20.6,31,26.2,74,23.3,50.3,67.5,62.2,68.2,Africa,50,30,1,83.3,Burundi
63.1,44.1,49,43.7,76.4,59.7,65.2,55.7,84.1,68.2,Africa,80,60,1,71.2,Cabo Verde
57.8,37.4,27.6,16.7,89.7,89.1,29.9,63,79.4,65.4,Asia,60,50,1,85.9,Cambodia
52.4,42.5,31.3,25.5,74.4,58.4,44.4,47.8,84,53.4,Africa,30,50,0,87.5,Cameroon
77.7,87,69.4,84.6,76.8,83.1,81.9,73.7,77.2,86.8,North America,80,80,1,51.3,Canada
49.1,19.6,29.6,23.2,65.2,94.3,24.2,40.1,72.3,51,Africa,45,30,1,94.2,Central African Republic
49.9,26.7,24.6,23.2,46.1,85.2,28.1,43.2,82.3,47.2,Africa,60,40,0,92.4,Chad
75.4,68.7,56.3,62.3,77.3,89,76.6,65,84.5,88.8,South America,85,70,1,81,Chile
